subject,title,homepage,issued,isbn,booktitle,publisher,series
http://localhost/publications/procs/Proceeding1/1950,Proceeding 1 (1950),http://www.tailpipe.tld/summerhouses/vialing.html,1950,0-8755-5472-0,,American Academy of Arts and Sciences,
http://localhost/publications/procs/Proceeding1/1951,Proceeding 1 (1951),,1951,0-9502-9347-0,seafloor jowliest psalmody,Oliver Books,1998
http://localhost/publications/procs/Proceeding1/1952,Proceeding 1 (1952),http://www.hydrators.tld/disencumbering/sniffling.html,1952,0-5298-8814-0,megacycle hydrators anchorages,UB & US Books & Things,1046
http://localhost/publications/procs/Proceeding1/1953,Proceeding 1 (1953),http://www.gipsy.tld/males/tatterdemalion.html,1953,,dichotic gipsy scorepad,Pluto Press Ltd,1961
http://localhost/publications/procs/Proceeding1/1954,Proceeding 1 (1954),http://www.atmans.tld/retained/lyre.html,1954,0-8517-1633-0,swaggered atmans saviors,Taigh na Teud,1910
http://localhost/publications/procs/Proceeding1/1955,Proceeding 1 (1955),http://www.dips.tld/agaves/owns.html,1955,0-3721-4662-0,hoking dips plaques,Oceana Publications,1088
http://localhost/publications/procs/Proceeding1/1956,Proceeding 1 (1956),http://www.mewler.tld/primed/barkeepers.html,1956,0-3601-6693-0,publics mewler wets,Open University Press,1057
http://localhost/publications/procs/Proceeding1/1957,Proceeding 1 (1957),http://www.akvavit.tld/exited/snowbushes.html,1957,0-6918-7434-0,outvoting akvavit obtaining,Twin Press,1842
http://localhost/publications/procs/Proceeding1/1958,Proceeding 1 (1958),http://www.ormolu.tld/slimed/roughhewed.html,1958,0-3744-5670-0,psychosexual ormolu restrictionist,Baltzer Science Publishers,1655
http://localhost/publications/procs/Proceeding2/1958,Proceeding 2 (1958),http://www.lilacs.tld/unrest/dojos.html,1958,0-2511-7339-0,bowyer lilacs feminize,"Williams & Wilkins, Medical Publishers",1318
