subject,title,booktitle,homepage,issued,pages,creator
http://localhost/publications/incolls/1941/Incollection1,brill intermuscular fobbed,heartier brill neologic,http://www.neologic.tld/fobbed/transcribed.html,1941,119,http://localhost/persons/Vasilista_Hamic
http://localhost/publications/incolls/1942/Incollection1,gaudiness inadvisability disciplinarians,corollaries irades inadvisability,http://www.irades.tld/disciplinarians/majors.html,1942,147,http://localhost/persons/Shinji_Kapler
http://localhost/publications/incolls/1943/Incollection1,fridge unintentional antiquarians,allayed fridge stained,http://www.stained.tld/antiquarians/dilutes.html,1943,114,http://localhost/persons/Ofelia_Golde
http://localhost/publications/incolls/1943/Incollection1,fridge unintentional antiquarians,allayed fridge stained,http://www.stained.tld/antiquarians/dilutes.html,1943,114,http://localhost/persons/Maureo_Benedict
http://localhost/publications/incolls/1944/Incollection1,northers harebrained earthworms,shivas mutualist harebrained,http://www.mutualist.tld/earthworms/lunk.html,1944,65,http://localhost/persons/Casswallawn_Scheiblich
http://localhost/publications/incolls/1945/Incollection1,tailored beholden branchless,cacaos tailored whews,http://www.whews.tld/branchless/primitiveness.html,1945,143,http://localhost/persons/Radosha_Ferioli
http://localhost/publications/incolls/1946/Incollection1,morphia iteming immunoreactive,resourcefulness morphia ventricular,http://www.ventricular.tld/immunoreactive/weasand.html,1946,,http://localhost/persons/Isamu_Cokely
http://localhost/publications/incolls/1947/Incollection1,mythologies mumms overconcern,sufferingly breachers mumms,http://www.breachers.tld/overconcern/entombment.html,1947,197,http://localhost/persons/Aristomnis_Dauber
http://localhost/publications/incolls/1948/Incollection1,hamsters disentangles xylidine,minored brin disentangles,http://www.brin.tld/xylidine/liers.html,1948,,http://localhost/persons/Hasnaa_Sietsema
http://localhost/publications/incolls/1949/Incollection1,heartaches gentlewoman infundibuliform,convulsively apparats gentlewoman,http://www.apparats.tld/infundibuliform/nonmilitarily.html,1949,106,http://localhost/persons/Karina_Eggington
http://localhost/publications/incolls/1950/Incollection1,gustatorily shopgirl batted,teletypewriter gustatorily biennials,http://www.biennials.tld/batted/squarish.html,1950,,http://localhost/persons/Cc_Arroyos
http://localhost/publications/incolls/1951/Incollection1,marbleize meticulousness findable,fluorosis apprising meticulousness,http://www.apprising.tld/findable/shote.html,1951,195,http://localhost/persons/Bennet_Melendes
http://localhost/publications/incolls/1951/Incollection1,marbleize meticulousness findable,fluorosis apprising meticulousness,http://www.apprising.tld/findable/shote.html,1951,195,http://localhost/persons/Este_Manon
http://localhost/publications/incolls/1952/Incollection1,abjectness hairless glary,deprehension incapacious hairless,http://www.incapacious.tld/glary/speedster.html,1952,176,http://localhost/persons/Lowell_Kostka
http://localhost/publications/incolls/1953/Incollection1,nonsmoking journalized anthill,begot southing journalized,http://www.southing.tld/anthill/xx.html,1953,,http://localhost/persons/Rosalinde_Leinbach
http://localhost/publications/incolls/1953/Incollection2,mortuaries swaggered gens,maestri mortuaries wabble,http://www.wabble.tld/gens/atmans.html,1953,,http://localhost/persons/Maiya_Viars
http://localhost/publications/incolls/1954/Incollection1,animist tonneaus pendants,nervy monoplanes tonneaus,http://www.monoplanes.tld/pendants/sumps.html,1954,,http://localhost/persons/Callista_Bernstrom
http://localhost/publications/incolls/1954/Incollection2,outriggers rooking acridest,ablation reshipments rooking,http://www.reshipments.tld/acridest/undetachable.html,1954,102,http://localhost/persons/Aamurie_Semonick
http://localhost/publications/incolls/1955/Incollection1,affording protestantism daintier,apostrophizing cheesiest affording,http://www.quieter.tld/daintier/compounds.html,1955,192,http://localhost/persons/Hama_Bellusci
http://localhost/publications/incolls/1955/Incollection2,kinkier overdraws bickered,revaluated antiskid overdraws,http://www.antiskid.tld/bickered/barrenness.html,1955,193,http://localhost/persons/Ingeborg_Molden
http://localhost/publications/incolls/1956/Incollection1,unshared heaving painlessness,spadework intersexualism heaving,http://www.intersexualism.tld/painlessness/unflavored.html,1956,,http://localhost/persons/Ingobert_Soprych
http://localhost/publications/incolls/1956/Incollection2,squirmers whoops merrymaker,milling squirmers daystars,http://www.daystars.tld/merrymaker/knifers.html,1956,51,http://localhost/persons/Meena_Riegel
http://localhost/publications/incolls/1956/Incollection2,squirmers whoops merrymaker,milling squirmers daystars,http://www.daystars.tld/merrymaker/knifers.html,1956,51,http://localhost/persons/Klementina_Kingrey
