subject,title,booktitle,homepage,issued,pages,seeAlso,partOf,creator,abstract
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding1,vialing imprisonment vivisects,fits vialing lexicons,http://www.lexicons.tld/vivisects/gipper.html,1950,47,http://www.summerhouses.tld/lexicons/imprisonment.html,http://localhost/publications/procs/Proceeding1/1950,http://localhost/persons/Paul_Erdoes,
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding1,vialing imprisonment vivisects,fits vialing lexicons,http://www.lexicons.tld/vivisects/gipper.html,1950,47,http://www.summerhouses.tld/lexicons/imprisonment.html,http://localhost/publications/procs/Proceeding1/1950,http://localhost/persons/Bhoomika_Secord,
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding1,vialing imprisonment vivisects,fits vialing lexicons,http://www.lexicons.tld/vivisects/gipper.html,1950,47,http://www.summerhouses.tld/lexicons/imprisonment.html,http://localhost/publications/procs/Proceeding1/1950,http://localhost/persons/Editta_Servoss,
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding2,gipper reliable vernally,imprisonment gipper articulation,http://www.articulation.tld/vernally/rationally.html,1950,173,http://www.vivisects.tld/articulation/reliable.html,http://localhost/publications/procs/Proceeding1/1950,http://localhost/persons/Paul_Erdoes,
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding2,gipper reliable vernally,imprisonment gipper articulation,http://www.articulation.tld/vernally/rationally.html,1950,173,http://www.vivisects.tld/articulation/reliable.html,http://localhost/publications/procs/Proceeding1/1950,http://localhost/persons/Bhoomika_Secord,
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding3,rationally repealers fortuning,reliable rationally foreseeability,http://www.foreseeability.tld/fortuning/boorishly.html,1950,39,http://www.vernally.tld/foreseeability/repealers.html,,http://localhost/persons/Paul_Erdoes,
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding3,rationally repealers fortuning,reliable rationally foreseeability,http://www.foreseeability.tld/fortuning/boorishly.html,1950,39,http://www.vernally.tld/foreseeability/repealers.html,,http://localhost/persons/Editta_Servoss,
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding3,rationally repealers fortuning,reliable rationally foreseeability,http://www.foreseeability.tld/fortuning/boorishly.html,1950,39,http://www.vernally.tld/foreseeability/repealers.html,,http://localhost/persons/Deke_Mirabelli,
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding4,boorishly outwork exempla,repealers boorishly failures,http://www.failures.tld/exempla/rosing.html,1950,9,http://www.fortuning.tld/failures/outwork.html,http://localhost/publications/procs/Proceeding1/1950,http://localhost/persons/Paul_Erdoes,
http://localhost/publications/inprocs/Proceeding1/1950/Inproceeding4,boorishly outwork exempla,repealers boorishly failures,http://www.failures.tld/exempla/rosing.html,1950,9,http://www.fortuning.tld/failures/outwork.html,http://localhost/publications/procs/Proceeding1/1950,http://localhost/persons/Deke_Mirabelli,
