object,subject
Morgan Kaufmann Publishers,http://localhost/publications/procs/Proceeding3/1972
Butterworth-Heinemann,http://localhost/publications/incolls/1959/Incollection1
Princeton University Press,http://localhost/publications/procs/Proceeding4/1969
Open University Press,http://localhost/publications/procs/Proceeding1/1967
Van Nostrand Reinhold,http://localhost/publications/procs/Proceeding2/1960
McGraw-Hill,http://localhost/publications/procs/Proceeding3/1966
Oliver Books,http://localhost/publications/procs/Proceeding5/1970
Butterworths,http://localhost/publications/procs/Proceeding3/1969
Resolution Business Press,http://localhost/publications/procs/Proceeding1/1972
"Miller Freeman, Inc.",http://localhost/publications/procs/Proceeding8/1969
Manchester University Press,http://localhost/publications/procs/Proceeding7/1970
Jason Aronson Publishers,http://localhost/publications/procs/Proceeding7/1969
Pluto Press Ltd,http://localhost/publications/procs/Proceeding5/1967
MIT Press,http://localhost/publications/procs/Proceeding2/1966
Butterworth-Heinemann,http://localhost/publications/procs/Proceeding3/1965
Prentice Hall,http://localhost/publications/procs/Proceeding2/1968
Books That Work,http://localhost/publications/procs/Proceeding4/1968
Open University Press,http://localhost/publications/procs/Proceeding1/1956
Addison Wesley,http://localhost/publications/articles/Journal20/1971/Article779
American Chemical Society,http://localhost/publications/procs/Proceeding8/1970
Oceana Publications,http://localhost/publications/procs/Proceeding1/1955
Baltzer Science Publishers,http://localhost/publications/procs/Proceeding1/1958
Pluto Press Ltd,http://localhost/publications/procs/Proceeding1/1953
University of South Carolina Press,http://localhost/publications/procs/Proceeding2/1967
OReilly & Associates,http://localhost/publications/articles/Journal8/1968/Article320
Butterworth Legal Publishers,http://localhost/publications/procs/Proceeding1/1963
Virtual Press,http://localhost/publications/procs/Proceeding1/1964
Books That Work,http://localhost/publications/procs/Proceeding4/1971
Cold Spring Harbor Laboratory Press,http://localhost/publications/procs/Proceeding3/1961
"Business Communications Company, Inc.",http://localhost/publications/procs/Proceeding2/1965
Jason Aronson Publishers,http://localhost/publications/procs/Proceeding1/1962
Math-Pro Press,http://localhost/publications/procs/Proceeding2/1964
Oliver Books,http://localhost/publications/procs/Proceeding5/1972
"Springer-Verlag, Germany and New York",http://localhost/publications/procs/Proceeding4/1966
Van Nostrand Reinhold,http://localhost/publications/procs/Proceeding4/1970
Lonely Planet Books,http://localhost/publications/procs/Proceeding5/1971
Manaaki Whenua Press,http://localhost/publications/procs/Proceeding2/1972
CD Publishing Corporation,http://localhost/publications/procs/Proceeding3/1971
Manaaki Whenua Press,http://localhost/publications/procs/Proceeding2/1959
Baltzer Science Publishers,http://localhost/publications/books/1970/Book1
Butterworth-Heinemann,http://localhost/publications/procs/Proceeding1/1961
BIOS Scientific Press,http://localhost/publications/procs/Proceeding3/1964
Oceana Publications,http://localhost/publications/procs/Proceeding1/1968
Books That Work,http://localhost/publications/procs/Proceeding5/1966
American Academy of Arts and Sciences,http://localhost/publications/procs/Proceeding1/1950
Jason Aronson Publishers,http://localhost/publications/procs/Proceeding6/1969
UB & US Books & Things,http://localhost/publications/procs/Proceeding1/1952
Jason Aronson Publishers,http://localhost/publications/procs/Proceeding1/1959
"Miller Freeman, Inc.",http://localhost/publications/procs/Proceeding6/1967
Taigh na Teud,http://localhost/publications/procs/Proceeding1/1954
"Miller Freeman, Inc.",http://localhost/publications/books/1971/Book1
West Publishing Company,http://localhost/publications/procs/Proceeding3/1967
Circlet Press,http://localhost/publications/procs/Proceeding1/1969
Twin Press,http://localhost/publications/procs/Proceeding1/1957
Books That Work,http://localhost/publications/procs/Proceeding2/1969
Butterworth-Heinemann,http://localhost/publications/procs/Proceeding5/1968
