object,subject
11,http://localhost/publications/journals/Journal1/1950
13,http://localhost/publications/procs/Proceeding1/1972
2,http://localhost/publications/journals/Journal2/1950
26,http://localhost/publications/journals/Journal1/1965
15,http://localhost/publications/journals/Journal4/1970
5,http://localhost/publications/procs/Proceeding1/1956
7,http://localhost/publications/journals/Journal5/1964
3,http://localhost/publications/journals/Journal14/1970
14,http://localhost/publications/journals/Journal4/1969
4,http://localhost/publications/journals/Journal9/1967
9,http://localhost/publications/journals/Journal3/1962
5,http://localhost/publications/journals/Journal13/1971
1,http://localhost/publications/journals/Journal16/1969
11,http://localhost/publications/journals/Journal3/1964
10,http://localhost/publications/journals/Journal7/1971
2,http://localhost/publications/journals/Journal1/1941
3,http://localhost/publications/procs/Proceeding3/1966
32,http://localhost/publications/journals/Journal1/1971
1,http://localhost/publications/procs/Proceeding4/1965
9,http://localhost/publications/procs/Proceeding2/1971
25,http://localhost/publications/journals/Journal1/1964
7,http://localhost/publications/journals/Journal2/1955
5,http://localhost/publications/procs/Proceeding3/1970
1,http://localhost/publications/journals/Journal17/1969
7,http://localhost/publications/procs/Proceeding2/1968
3,http://localhost/publications/journals/Journal9/1966
9,http://localhost/publications/journals/Journal9/1972
3,http://localhost/publications/journals/Journal16/1971
3,http://localhost/publications/journals/Journal8/1965
3,http://localhost/publications/journals/Journal1/1942
6,http://localhost/publications/journals/Journal7/1967
2,http://localhost/publications/journals/Journal5/1959
2,http://localhost/publications/procs/Proceeding6/1970
12,http://localhost/publications/journals/Journal5/1969
2,http://localhost/publications/journals/Journal11/1967
7,http://localhost/publications/journals/Journal7/1968
21,http://localhost/publications/journals/Journal2/1969
2,http://localhost/publications/procs/Proceeding4/1969
4,http://localhost/publications/journals/Journal3/1957
8,http://localhost/publications/journals/Journal6/1967
5,http://localhost/publications/journals/Journal6/1964
2,http://localhost/publications/journals/Journal19/1971
20,http://localhost/publications/journals/Journal2/1968
8,http://localhost/publications/journals/Journal4/1963
6,http://localhost/publications/journals/Journal4/1961
1,http://localhost/publications/journals/Journal7/1962
17,http://localhost/publications/journals/Journal3/1970
1,http://localhost/publications/journals/Journal21/1971
6,http://localhost/publications/procs/Proceeding2/1967
12,http://localhost/publications/journals/Journal3/1965
28,http://localhost/publications/journals/Journal1/1967
3,http://localhost/publications/procs/Proceeding6/1971
8,http://localhost/publications/journals/Journal3/1961
1,http://localhost/publications/journals/Journal3/1954
14,http://localhost/publications/journals/Journal2/1962
16,http://localhost/publications/journals/Journal2/1964
20,http://localhost/publications/journals/Journal1/1959
17,http://localhost/publications/journals/Journal4/1972
4,http://localhost/publications/journals/Journal8/1966
4,http://localhost/publications/journals/Journal12/1969
15,http://localhost/publications/journals/Journal3/1968
11,http://localhost/publications/journals/Journal5/1968
3,http://localhost/publications/procs/Proceeding4/1971
18,http://localhost/publications/journals/Journal2/1966
16,http://localhost/publications/journals/Journal3/1969
12,http://localhost/publications/journals/Journal6/1971
1,http://localhost/publications/procs/Proceeding3/1961
21,http://localhost/publications/journals/Journal1/1960
14,http://localhost/publications/journals/Journal1/1953
2,http://localhost/publications/procs/Proceeding8/1970
1,http://localhost/publications/journals/Journal12/1966
19,http://localhost/publications/journals/Journal1/1958
6,http://localhost/publications/procs/Proceeding1/1957
8,http://localhost/publications/journals/Journal5/1965
2,http://localhost/publications/procs/Proceeding2/1962
5,http://localhost/publications/journals/Journal7/1966
4,http://localhost/publications/procs/Proceeding2/1965
9,http://localhost/publications/procs/Proceeding1/1963
22,http://localhost/publications/journals/Journal1/1961
1,http://localhost/publications/books/1972/Book1
11,http://localhost/publications/journals/Journal2/1959
2,http://localhost/publications/journals/Journal13/1968
15,http://localhost/publications/journals/Journal1/1954
16,http://localhost/publications/journals/Journal4/1971
2,http://localhost/publications/journals/Journal15/1969
1,http://localhost/publications/journals/Journal14/1968
5,http://localhost/publications/journals/Journal11/1970
17,http://localhost/publications/journals/Journal1/1956
1,http://localhost/publications/journals/Journal2/1949
17,http://localhost/publications/journals/Journal2/1965
6,http://localhost/publications/journals/Journal3/1959
9,http://localhost/publications/journals/Journal8/1971
2,http://localhost/publications/procs/Proceeding9/1971
6,http://localhost/publications/journals/Journal8/1968
24,http://localhost/publications/journals/Journal2/1972
10,http://localhost/publications/procs/Proceeding1/1964
12,http://localhost/publications/journals/Journal4/1967
13,http://localhost/publications/journals/Journal1/1952
1,http://localhost/publications/journals/Journal20/1971
5,http://localhost/publications/journals/Journal1/1944
1,http://localhost/publications/journals/Journal9/1964
9,http://localhost/publications/journals/Journal7/1970
6,http://localhost/publications/procs/Proceeding3/1971
4,http://localhost/publications/journals/Journal5/1961
1,http://localhost/publications/procs/Proceeding10/1971
3,http://localhost/publications/journals/Journal7/1964
8,http://localhost/publications/journals/Journal8/1970
1,http://localhost/publications/procs/Proceeding2/1959
5,http://localhost/publications/journals/Journal4/1960
3,http://localhost/publications/journals/Journal4/1958
6,http://localhost/publications/journals/Journal9/1969
1,http://localhost/publications/procs/Proceeding7/1968
3,http://localhost/publications/journals/Journal6/1962
3,http://localhost/publications/procs/Proceeding1/1952
4,http://localhost/publications/procs/Proceeding3/1968
2,http://localhost/publications/journals/Journal14/1969
4,http://localhost/publications/journals/Journal4/1959
7,http://localhost/publications/journals/Journal10/1971
4,http://localhost/publications/journals/Journal13/1970
1,http://localhost/publications/procs/Proceeding1/1950
15,http://localhost/publications/journals/Journal2/1963
2,http://localhost/publications/journals/Journal3/1955
29,http://localhost/publications/journals/Journal1/1968
14,http://localhost/publications/journals/Journal5/1971
5,http://localhost/publications/journals/Journal2/1953
4,http://localhost/publications/journals/Journal14/1971
1,http://localhost/publications/journals/Journal11/1966
2,http://localhost/publications/journals/Journal6/1961
1,http://localhost/publications/journals/Journal19/1970
27,http://localhost/publications/journals/Journal1/1966
