object,subject
1969,http://localhost/publications/inprocs/Proceeding3/1969/Inproceeding131
1963,http://localhost/publications/inprocs/Proceeding1/1963/Inproceeding3
1964,http://localhost/publications/inprocs/Proceeding1/1964/Inproceeding27
1966,http://localhost/publications/inprocs/Proceeding5/1966/Inproceeding186
1971,http://localhost/publications/inprocs/Proceeding1/1971/Inproceeding4
1971,http://localhost/publications/journals/Journal18/1971
1960,http://localhost/publications/inprocs/Proceeding1/1960/Inproceeding3
1972,http://localhost/publications/inprocs/Proceeding1/1972/Inproceeding32
1957,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding32
1951,http://localhost/publications/inprocs/Proceeding1/1951/Inproceeding9
1972,http://localhost/publications/inprocs/Proceeding1/1972/Inproceeding14
1969,http://localhost/publications/procs/Proceeding8/1969
1972,http://localhost/publications/inprocs/Proceeding1/1972/Inproceeding48
1971,http://localhost/publications/inprocs/Proceeding8/1971/Inproceeding291
1971,http://localhost/publications/inprocs/Proceeding5/1971/Inproceeding201
1968,http://localhost/publications/inprocs/Proceeding6/1968/Inproceeding248
1971,http://localhost/publications/inprocs/Proceeding8/1971/Inproceeding317
1966,http://localhost/publications/journals/Journal11/1966
1963,http://localhost/publications/inprocs/Proceeding1/1963/Inproceeding5
1971,http://localhost/publications/inprocs/Proceeding7/1971/Inproceeding255
1954,http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding22
1966,http://localhost/publications/inprocs/Proceeding1/1966/Inproceeding21
1966,http://localhost/publications/inprocs/Proceeding1/1966/Inproceeding26
1968,http://localhost/publications/inprocs/Proceeding2/1968/Inproceeding64
1971,http://localhost/publications/inprocs/Proceeding7/1971/Inproceeding275
1970,http://localhost/publications/inprocs/Proceeding1/1970/Inproceeding5
1972,http://localhost/publications/inprocs/Proceeding1/1972/Inproceeding30
1957,http://localhost/publications/inprocs/Proceeding1/1957/Inproceeding45
1969,http://localhost/publications/inprocs/Proceeding8/1969/Inproceeding281
1969,http://localhost/publications/incolls/1969/Incollection7
1952,http://localhost/publications/journals/Journal1/1952
1968,http://localhost/publications/inprocs/Proceeding3/1968/Inproceeding96
1965,http://localhost/publications/inprocs/Proceeding1/1965/Inproceeding2
1966,http://localhost/publications/inprocs/Proceeding3/1966/Inproceeding95
1969,http://localhost/publications/inprocs/Proceeding4/1969/Inproceeding155
1968,http://localhost/publications/procs/Proceeding6/1968
1966,http://localhost/publications/inprocs/Proceeding2/1966/Inproceeding74
1960,http://localhost/publications/inprocs/Proceeding1/1960/Inproceeding12
1965,http://localhost/publications/inprocs/Proceeding3/1965/Inproceeding120
1964,http://localhost/publications/inprocs/Proceeding1/1964/Inproceeding18
1967,http://localhost/publications/inprocs/Proceeding4/1967/Inproceeding144
1966,http://localhost/publications/inprocs/Proceeding3/1966/Inproceeding76
1961,http://localhost/publications/inprocs/Proceeding2/1961/Inproceeding39
1968,http://localhost/publications/inprocs/Proceeding4/1968/Inproceeding98
1959,http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding26
1969,http://localhost/publications/inprocs/Proceeding2/1969/Inproceeding55
1961,http://localhost/publications/inprocs/Proceeding1/1961/Inproceeding30
1966,http://localhost/publications/inprocs/Proceeding2/1966/Inproceeding43
1967,http://localhost/publications/inprocs/Proceeding1/1967/Inproceeding32
