object,subject
81,http://localhost/publications/articles/Journal5/1958/Article168
66,http://localhost/publications/articles/Journal5/1971/Article191
141,http://localhost/publications/inprocs/Proceeding3/1969/Inproceeding95
55,http://localhost/publications/articles/Journal6/1962/Article183
178,http://localhost/publications/articles/Journal1/1947/Article15
29,http://localhost/publications/articles/Journal6/1960/Article199
65,http://localhost/publications/articles/Journal1/1946/Article19
114,http://localhost/publications/inprocs/Proceeding5/1969/Inproceeding207
32,http://localhost/publications/articles/Journal2/1954/Article54
17,http://localhost/publications/articles/Journal11/1970/Article364
114,http://localhost/publications/articles/Journal4/1961/Article247
45,http://localhost/publications/inprocs/Proceeding1/1961/Inproceeding11
160,http://localhost/publications/articles/Journal20/1971/Article817
182,http://localhost/publications/articles/Journal11/1971/Article440
154,http://localhost/publications/articles/Journal3/1961/Article85
131,http://localhost/publications/articles/Journal5/1967/Article172
121,http://localhost/publications/inprocs/Proceeding3/1969/Inproceeding84
198,http://localhost/publications/articles/Journal10/1968/Article393
145,http://localhost/publications/articles/Journal3/1967/Article96
195,http://localhost/publications/articles/Journal11/1971/Article421
159,http://localhost/publications/articles/Journal1/1956/Article15
13,http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding44
28,http://localhost/publications/articles/Journal3/1957/Article73
111,http://localhost/publications/articles/Journal6/1965/Article202
110,http://localhost/publications/inprocs/Proceeding2/1967/Inproceeding77
88,http://localhost/publications/articles/Journal1/1964/Article24
103,http://localhost/publications/articles/Journal5/1968/Article180
75,http://localhost/publications/articles/Journal6/1965/Article223
80,http://localhost/publications/articles/Journal3/1961/Article94
155,http://localhost/publications/inprocs/Proceeding1/1965/Inproceeding47
26,http://localhost/publications/articles/Journal5/1969/Article203
183,http://localhost/publications/articles/Journal6/1961/Article182
165,http://localhost/publications/inprocs/Proceeding4/1967/Inproceeding149
14,http://localhost/publications/articles/Journal2/1960/Article53
154,http://localhost/publications/articles/Journal1/1945/Article13
42,http://localhost/publications/articles/Journal4/1968/Article147
5,http://localhost/publications/inprocs/Proceeding8/1971/Inproceeding309
40,http://localhost/publications/articles/Journal13/1969/Article495
87,http://localhost/publications/articles/Journal2/1971/Article70
22,http://localhost/publications/articles/Journal1/1955/Article26
78,http://localhost/publications/articles/Journal5/1968/Article178
77,http://localhost/publications/articles/Journal18/1971/Article716
77,http://localhost/publications/articles/Journal14/1970/Article462
1,http://localhost/publications/articles/Journal7/1963/Article248
129,http://localhost/publications/articles/Journal8/1966/Article318
156,http://localhost/publications/articles/Journal1/1944/Article2
48,http://localhost/publications/articles/Journal3/1970/Article110
97,http://localhost/publications/inprocs/Proceeding1/1958/Inproceeding19
149,http://localhost/publications/articles/Journal12/1971/Article485
120,http://localhost/publications/inprocs/Proceeding4/1968/Inproceeding115
121,http://localhost/publications/articles/Journal1/1968/Article25
183,http://localhost/publications/articles/Journal7/1964/Article233
30,http://localhost/publications/articles/Journal1/1960/Article10
91,http://localhost/publications/articles/Journal1/1953/Article32
61,http://localhost/publications/articles/Journal6/1970/Article204
67,http://localhost/publications/inprocs/Proceeding1/1962/Inproceeding26
79,http://localhost/publications/articles/Journal15/1969/Article569
63,http://localhost/publications/articles/Journal7/1972/Article206
182,http://localhost/publications/articles/Journal8/1972/Article258
125,http://localhost/publications/articles/Journal3/1962/Article63
15,http://localhost/publications/articles/Journal5/1959/Article150
82,http://localhost/publications/articles/Journal4/1960/Article124
65,http://localhost/publications/articles/Journal10/1968/Article409
