object,subject
1629,http://localhost/publications/procs/Proceeding5/1968
1842,http://localhost/publications/procs/Proceeding1/1957
1182,http://localhost/publications/procs/Proceeding8/1969
1410,http://localhost/publications/procs/Proceeding1/1971
1438,http://localhost/publications/procs/Proceeding8/1971
1762,http://localhost/publications/procs/Proceeding1/1964
1280,http://localhost/publications/procs/Proceeding4/1966
1037,http://localhost/publications/procs/Proceeding5/1972
1318,http://localhost/publications/procs/Proceeding2/1958
1046,http://localhost/publications/procs/Proceeding1/1952
1866,http://localhost/publications/procs/Proceeding3/1967
1897,http://localhost/publications/procs/Proceeding6/1970
1998,http://localhost/publications/procs/Proceeding1/1951
1088,http://localhost/publications/procs/Proceeding1/1955
1025,http://localhost/publications/procs/Proceeding4/1970
1088,http://localhost/publications/procs/Proceeding3/1962
1865,http://localhost/publications/procs/Proceeding3/1963
1765,http://localhost/publications/procs/Proceeding5/1970
1961,http://localhost/publications/procs/Proceeding1/1953
1108,http://localhost/publications/procs/Proceeding2/1970
1136,http://localhost/publications/procs/Proceeding4/1972
1861,http://localhost/publications/procs/Proceeding1/1959
1123,http://localhost/publications/procs/Proceeding1/1967
1537,http://localhost/publications/procs/Proceeding2/1964
1341,http://localhost/publications/procs/Proceeding1/1961
1729,http://localhost/publications/procs/Proceeding4/1967
1231,http://localhost/publications/procs/Proceeding4/1964
1553,http://localhost/publications/procs/Proceeding2/1959
1755,http://localhost/publications/procs/Proceeding1/1965
1944,http://localhost/publications/procs/Proceeding2/1972
1282,http://localhost/publications/procs/Proceeding5/1967
1386,http://localhost/publications/procs/Proceeding3/1971
1457,http://localhost/publications/procs/Proceeding8/1970
1302,http://localhost/publications/procs/Proceeding7/1971
1538,http://localhost/publications/books/1972/Book1
1805,http://localhost/publications/procs/Proceeding2/1960
1273,http://localhost/publications/procs/Proceeding10/1971
1910,http://localhost/publications/procs/Proceeding1/1954
1457,http://localhost/publications/procs/Proceeding5/1971
1486,http://localhost/publications/procs/Proceeding2/1965
1861,http://localhost/publications/procs/Proceeding6/1971
1042,http://localhost/publications/procs/Proceeding3/1966
1000,http://localhost/publications/procs/Proceeding1/1972
1992,http://localhost/publications/procs/Proceeding4/1969
1478,http://localhost/publications/procs/Proceeding4/1968
1675,http://localhost/publications/procs/Proceeding1/1966
1023,http://localhost/publications/procs/Proceeding2/1967
1903,http://localhost/publications/procs/Proceeding7/1970
1655,http://localhost/publications/procs/Proceeding1/1958
1057,http://localhost/publications/procs/Proceeding1/1956
1855,http://localhost/publications/procs/Proceeding1/1963
1706,http://localhost/publications/procs/Proceeding2/1961
1177,http://localhost/publications/procs/Proceeding1/1968
1048,http://localhost/publications/procs/Proceeding7/1968
